Number,Title,Overview,Genres
187,Terminator 2: Judgment Day,nearly years pass since sarah connor target termination cyborg future son john future leader resistance target newer deadly terminator resistance manage send protector back attempt save john mother sarah,Action
188,Bruce Almighty,bruce nolan toil human interest television reporter buffalo despite high rat love beautiful girlfriend bruce remain unfulfilled end worst day life angrily ridicule godend almighty respond endow bruce divine power,Fantasy
189,Wonder Park,story magnificent amusement park imagination wildly creative girl name june come alive,Comedy
190,Casino Royale,le chiffre banker world terrorists schedule participate high stake poker game montenegro intend use winnings establish financial grip terrorist market send bond maiden mission agent attend game prevent le chiffre win help vesper lynd felix leiter bond enter important poker game already dangerous career,Adventure
191,The Loft,five men opportunity share penthouse city carry extramarital affairs dream come true dead body unknown woman turn realize killer must one group men grip paranoia one suspect another friendships test loyalties question marriages crumble fear suspicion run rampant,Thriller
192,Replicas,scientist become obsess return family normalcy terrible accident,Thriller
193,Skyfall,bond latest assignment go gravely wrong agents around world expose attack force relocate agency events cause authority position challenge gareth mallory new chairman intelligence security committee compromise inside leave one ally trust bond take shadow aid field agent eve follow trail mysterious silva whose lethal hide motives yet reveal,Action
194,Female War: A Nasty Deal,painter ha rim become blind due unfortunate accident wife sun yeong search far low cornea donor meet terminal cancer patient dae geun two make startle dangerous deal ha rim cornea,Drama
195,"Monsters, Inc.",jam sullivan mike wazowski monsters earn live scar children best business even though afraid children child accidentally enter world jam mike suddenly find kid afraid uncover conspiracy could threaten children across world,Animation
196,Jurassic World,twenty two years events jurassic park isla nublar feature fully function dinosaur theme park jurassic world originally envision john hammond,Action
197,BlacKkKlansman,colorado spring late ron stallworth african american police officer flip zimmerman jewish colleague run undercover operation infiltrate ku klux klan,Crime
198,Harry Potter and the Order of the Phoenix,return fifth year study hogwarts harry stun find warn return lord voldemort ignore leave choice harry take matter hand train small group students dub dumbledore army defend dark arts,Adventure
199,Gone Girl,wife disappearance become focus intense media circus man see spotlight turn suspect may innocent,Mystery
200,How to Train Your Dragon,son viking leader cusp manhood shy hiccup horrendous haddock iii face rite passage must kill dragon prove warrior mettle down fear dragon realize longer want destroy instead befriend beast name toothless much chagrin warrior father,Fantasy
201,Dracula Untold,vlad tepes great hero learn sultan prepare battle need form army boys vow find way protect family vlad turn dark force order get power destroy enemies agree go hero monster turn mythological vampire dracula,Horror
202,Teenage Mutant Ninja Turtles,city need heroes darkness settle new york city shredder evil foot clan iron grip everything police politicians future grim four unlikely outcast brothers rise sewers discover destiny teenage mutant ninja turtle turtle must work fearless reporter april wise crack cameraman vern fenwick save city unravel shredder diabolical plan,Science Fiction
203,Your Name.,high schoolers mitsuha taki complete strangers live separate live one night suddenly switch place mitsuha wake taki body bizarre occurrence continue happen randomly two must adjust live around,Romance
204,Pixels,video game experts recruit military fight era video game character attack new york,Action
205,War for the Planet of the Apes,caesar ape force deadly conflict army humans lead ruthless colonel ape suffer unimaginable losses caesar wrestle darker instincts begin mythic quest avenge kind journey finally bring face face caesar colonel pit epic battle determine fate species future planet,Drama
206,Maleficent,beautiful pure hearted young woman maleficent idyllic life grow peaceable forest kingdom one day invade army threaten harmony land maleficent rise land fiercest protector ultimately suffer ruthless betrayal act begin turn heart stone bend revenge maleficent face epic battle invade king successor result place curse upon newborn infant aurora child grow maleficent realize aurora hold key peace kingdom maleficent true happiness well,Fantasy
207,First Blood,former green beret john rambo harass local law enforcement arrest vagrancy vietnam vet snap run hill rat tat tat way action movie hall fame hound relentless sheriff rambo employ heavy hand guerilla tactics shake cop tail,Action
